collection,item_id,datetime,cloud_percent,light_haze_percent,quality_category,collection_mode,location_description,sun_elevation,sun_azimuth,view_azimuth,off_nadir,gsd,bbox,centroid_lat,centroid_lon,asset_basic_beta_udm,asset_basic_radiance_hdf5,asset_basic_sr_hdf5,asset_geolocation_array,asset_ortho_beta_udm,asset_ortho_ql_ch4,asset_ortho_radiance_hdf5,asset_ortho_sr_hdf5,asset_ortho_visual,asset_ql_ch4_json,asset_recent_monthly_mosaic,asset_thumbnail
natural-lands,20240925_185509_74_4001,2024-09-25T18:55:09.740678Z,1,0,test,standard_sensitivity,"Esmeralda County, Nevada, United States",50.0,162.3,274.7,12.0,40.24,"[-117.37384880358002, 37.239620275483915, -117.04329670177542, 37.4907683953353]",37.36519433540961,-117.20857275267772,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20240925_185509_74_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20240925_185509_74_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20240925_185509_74_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20240925_185509_74_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20240925_185509_74_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20240925_185509_74_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20240925_185509_74_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20240925_185509_74_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20240925_185509_74_4001_thumb.png
natural-lands,20250222_190233_00_4001,2025-02-22T19:02:33Z,0,0,standard,standard_sensitivity,"Nye County, Nevada, United States",40.4,160.7,34.6,3.9,32.82,"[-117.24101724557605, 37.613169396557275, -116.9786336642985, 37.793399834972504]",37.703284615764886,-117.10982545493727,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250222_190233_00_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250222_190233_00_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250222_190233_00_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250222_190233_00_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250222_190233_00_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250222_190233_00_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250222_190233_00_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250222_190233_00_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250222_190233_00_4001_thumb.png
natural-lands,20250222_190237_16_4001,2025-02-22T19:02:37.165094Z,1,1,standard,standard_sensitivity,"Nye County, Nevada, United States",40.6,160.6,51.6,2.4,32.79,"[-117.27971932598193, 37.47140623647671, -117.01826969869286, 37.651282182877445]",37.561344209677074,-117.1489945123374,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250222_190237_16_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250222_190237_16_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250222_190237_16_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250222_190237_16_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250222_190237_16_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250222_190237_16_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250222_190237_16_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250222_190237_16_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250222_190237_16_4001_thumb.png
natural-lands,20250222_190241_32_4001,2025-02-22T19:02:41.321891Z,1,0,standard,standard_sensitivity,"Esmeralda County, Nevada, United States",40.7,160.6,101.5,1.5,32.72,"[-117.31835976713874, 37.32957039052, -117.05751060488333, 37.50937547369277]",37.41947293210639,-117.18793518601103,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250222_190241_32_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250222_190241_32_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250222_190241_32_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250222_190241_32_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250222_190241_32_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250222_190241_32_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250222_190241_32_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250222_190241_32_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250222_190241_32_4001_thumb.png
natural-lands,20241025_185051_28_4001,2024-10-25T18:50:51.283920Z,1,0,test,standard_sensitivity,"Northridge, Northridge South Neighborhood Council District, Los Angeles, Los Angeles County, California, 91324, United States",42.0,164.4,144.9,8.6,39.46,"[-118.69420166460431, 34.0955449153891, -118.38325746459464, 34.381417658559606]",34.23848128697435,-118.53872956459946,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20241025_185051_28_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20241025_185051_28_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20241025_185051_28_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20241025_185051_28_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20241025_185051_28_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20241025_185051_28_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20241025_185051_28_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20241025_185051_28_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20241025_185051_28_4001_thumb.png
natural-lands,20241025_185056_92_4001,2024-10-25T18:50:56.925880Z,50,0,test,standard_sensitivity,"Malibu, Los Angeles County, California, United States",42.2,164.3,151.1,9.7,40.01,"[-118.75590205410725, 33.85595426881101, -118.44538301046094, 34.14253944260727]",33.999246855709146,-118.6006425322841,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20241025_185056_92_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20241025_185056_92_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20241025_185056_92_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20241025_185056_92_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20241025_185056_92_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20241025_185056_92_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20241025_185056_92_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20241025_185056_92_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20241025_185056_92_4001_thumb.png
natural-lands,20241215_185902_00_4001,2024-12-15T18:59:02.012445Z,0,0,test,maximum_sensitivity,"Los Angeles County, California, United States",31.3,166.3,333.5,8.6,39.86,"[-118.81364824617775, 34.071149135992606, -118.54827599957004, 34.26475852812107]",34.16795383205684,-118.6809621228739,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20241215_185902_00_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20241215_185902_00_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20241215_185902_00_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20241215_185902_00_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20241215_185902_00_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20241215_185902_00_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20241215_185902_00_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20241215_185902_00_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20241215_185902_00_4001_thumb.png
natural-lands,20241215_185916_33_4001,2024-12-15T18:59:16.349662Z,0,0,test,maximum_sensitivity,"Malibu, Los Angeles County, California, United States",31.4,166.3,244.2,6.8,37.45,"[-118.84705590250647, 33.91950767743557, -118.59241930222035, 34.10982552617667]",34.01466660180612,-118.71973760236341,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20241215_185916_33_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20241215_185916_33_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20241215_185916_33_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20241215_185916_33_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20241215_185916_33_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20241215_185916_33_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20241215_185916_33_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20241215_185916_33_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20241215_185916_33_4001_thumb.png
natural-lands,20250123_185507_64_4001,2025-01-23T18:55:07.641960Z,1,1,test,standard_sensitivity,"Los Angeles County, California, United States",33.7,159.8,100.0,19.7,39.03,"[-118.6858447146261, 34.38606908543905, -118.37556404531472, 34.66724439417294]",34.52665673980599,-118.53070437997042,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250123_185507_64_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250123_185507_64_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250123_185507_64_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250123_185507_64_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250123_185507_64_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250123_185507_64_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250123_185507_64_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250123_185507_64_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250123_185507_64_4001_thumb.png
natural-lands,20250123_185518_92_4001,2025-01-23T18:55:18.925880Z,0,2,test,standard_sensitivity,"Unincorporated Santa Monica Mountains, Los Angeles County, California, United States",34.1,159.6,109.6,20.0,39.0,"[-118.81000229560739, 33.90531288319584, -118.5024818852516, 34.19042451838735]",34.0478687007916,-118.65624209042949,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250123_185518_92_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250123_185518_92_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250123_185518_92_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250123_185518_92_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250123_185518_92_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250123_185518_92_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250123_185518_92_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250123_185518_92_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250123_185518_92_4001_thumb.png
natural-lands,20250407_192235_24_4001,2025-04-07T19:22:35.245103Z,0,0,standard,standard_sensitivity,"Los Angeles County, California, United States",61.5,161.9,254.8,28.1,50.22,"[-118.91225079556148, 34.40828111008142, -118.57653149397706, 34.6398282590991]",34.524054684590254,-118.74439114476927,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250407_192235_24_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250407_192235_24_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250407_192235_24_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250407_192235_24_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250407_192235_24_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250407_192235_24_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250407_192235_24_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250407_192235_24_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250407_192235_24_4001_thumb.png
natural-lands,20250407_192229_16_4001,2025-04-07T19:22:29.163402Z,0,0,standard,standard_sensitivity,"Los Angeles County, California, United States",61.3,162.1,259.3,27.2,37.13,"[-118.86237599536464, 34.61374608573343, -118.52380770193382, 34.851110553811765]",34.732428319772595,-118.69309184864923,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250407_192229_16_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250407_192229_16_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250407_192229_16_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250407_192229_16_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250407_192229_16_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250407_192229_16_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250407_192229_16_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250407_192229_16_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250407_192229_16_4001_thumb.png
natural-lands,20250407_192247_40_4001,2025-04-07T19:22:47.400208Z,0,0,standard,standard_sensitivity,"Unincorporated Santa Monica Mountains, Los Angeles County, California, United States",61.9,161.6,246.8,30.3,37.78,"[-119.01937403961095, 33.99859860193953, -118.67629892201833, 34.219884240264086]",34.10924142110181,-118.84783648081464,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250407_192247_40_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250407_192247_40_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250407_192247_40_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250407_192247_40_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250407_192247_40_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250407_192247_40_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250407_192247_40_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250407_192247_40_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250407_192247_40_4001_thumb.png
natural-lands,20250920_193148_33_4001,2025-09-20T19:31:48.345860Z,3,0,standard,maximum_sensitivity,"Warner Center, Woodland Hills-Warner Center Neighborhood Council District, Los Angeles, Los Angeles County, California, 91367, United States",56.4,173.0,102.8,3.1,33.85,"[-118.70415626805001, 34.054700997474875, -118.4438741982455, 34.26128510412193]",34.1579930507984,-118.57401523314775,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250920_193148_33_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250920_193148_33_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250920_193148_33_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250920_193148_33_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250920_193148_33_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250920_193148_33_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250920_193148_33_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250920_193148_33_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250920_193148_33_4001_thumb.png
natural-lands,20250920_193207_61_4001,2025-09-20T19:32:07.628088Z,42,0,standard,maximum_sensitivity,"Malibu, Los Angeles County, California, United States",56.6,173.0,180.4,15.6,34.0,"[-118.75136948452425, 33.905480796436365, -118.4874634629537, 34.0939322961548]",33.999706546295585,-118.61941647373897,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250920_193207_61_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250920_193207_61_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250920_193207_61_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250920_193207_61_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250920_193207_61_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250920_193207_61_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250920_193207_61_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250920_193207_61_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250920_193207_61_4001_thumb.png
natural-lands,20250726_192403_06_4001,2025-07-26T19:24:03.073869Z,2,0,standard,maximum_sensitivity,"Simi Valley, Ventura County, California, United States",72.9,149.0,102.7,6.9,33.84,"[-118.7910628466147, 34.17803482712942, -118.52667364950617, 34.3907528102107]",34.28439381867006,-118.65886824806043,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250726_192403_06_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250726_192403_06_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250726_192403_06_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250726_192403_06_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250726_192403_06_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250726_192403_06_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250726_192403_06_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250726_192403_06_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250726_192403_06_4001_thumb.png
natural-lands,20250726_192422_87_4001,2025-07-26T19:24:22.887105Z,1,0,standard,maximum_sensitivity,"Unincorporated Santa Monica Mountains, Los Angeles County, California, United States",73.0,148.8,168.6,17.0,35.17,"[-118.84336011674677, 33.99952075931865, -118.57294146689644, 34.21932506980487]",34.10942291456176,-118.7081507918216,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_beta_udm/20250726_192422_87_4001_basic_beta_udm.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_radiance_hdf5/20250726_192422_87_4001_basic_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/basic_sr_hdf5/20250726_192422_87_4001_basic_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/geolocation_array/20250726_192422_87_4001_geolocation_array.tif,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_beta_udm/20250726_192422_87_4001_ortho_beta_udm.tif,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_radiance_hdf5/20250726_192422_87_4001_ortho_radiance_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_sr_hdf5/20250726_192422_87_4001_ortho_sr_hdf5.h5,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/ortho_visual/20250726_192422_87_4001_ortho_visual.tif,,,https://storage.googleapis.com/open-cogs/planet-stac/tanager1-release2-core-imagery/thumbnail/20250726_192422_87_4001_thumb.png
